period,timeframe,strategy,ma_params,ma_short,ma_long,final_value,total_return_pct,max_drawdown_pct,sharpe_ratio,num_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,total_fees
H2_2024,4h,mtf_trend,,,,11019.0,10.19,-5.011,2.177,17,70.59,5.377,-2.576,3.376,71.91
H2_2024,4h,supertrend,,,,11095.52,10.955,-3.842,2.423,14,64.29,8.294,-2.511,4.55,47.36
H2_2024,4h,trend_following,MA9/21,9.0,21.0,10919.56,9.196,-4.742,1.835,27,59.26,8.284,-2.344,2.141,91.19
H2_2024,4h,trend_following,MA10/30,10.0,30.0,10836.35,8.363,-5.127,1.609,27,59.26,6.794,-2.73,1.944,96.18
H2_2024,4h,trend_following,MA20/50,20.0,50.0,11169.9,11.699,-4.059,2.136,30,66.67,5.911,-3.118,2.525,95.16
H2_2024,4h,trend_following,MA20/100,20.0,100.0,10711.25,7.112,-5.158,1.332,31,61.29,4.771,-3.053,1.743,99.24
H2_2024,4h,trend_following,MA21/55,21.0,55.0,11001.52,10.015,-4.464,1.917,30,66.67,5.719,-3.118,2.323,90.51
H2_2024,1d,auto,MA9/21,9.0,21.0,10872.45,8.724,-3.359,1.95,9,66.67,25.121,-3.173,3.743,17.82
H2_2024,1d,auto,MA10/30,10.0,30.0,10981.98,9.82,-3.463,2.391,8,75.0,26.92,-4.298,4.404,16.7
H2_2024,1d,auto,MA20/50,20.0,50.0,11315.65,13.157,-3.236,2.919,7,85.71,21.108,-4.358,9.913,17.85
